Rounds	x%	o%	t%
50	0.540000	0.420000	0.040000
100	0.480000	0.420000	0.100000
150	0.540000	0.300000	0.160000
200	0.680000	0.200000	0.120000
250	0.660000	0.260000	0.080000
300	0.600000	0.280000	0.120000
350	0.540000	0.300000	0.160000
400	0.560000	0.340000	0.100000
450	0.580000	0.320000	0.100000
500	0.460000	0.420000	0.120000
550	0.640000	0.220000	0.140000
600	0.620000	0.300000	0.080000
650	0.580000	0.320000	0.100000
700	0.720000	0.180000	0.100000
750	0.620000	0.300000	0.080000
800	0.400000	0.460000	0.140000
850	0.440000	0.420000	0.140000
900	0.380000	0.420000	0.200000
950	0.460000	0.460000	0.080000
1000	0.400000	0.420000	0.180000
1050	0.440000	0.460000	0.100000
1100	0.440000	0.460000	0.100000
1150	0.360000	0.500000	0.140000
1200	0.500000	0.360000	0.140000
1250	0.460000	0.480000	0.060000
1300	0.320000	0.560000	0.120000
1350	0.300000	0.560000	0.140000
1400	0.340000	0.540000	0.120000
1450	0.380000	0.500000	0.120000
1500	0.320000	0.600000	0.080000
1550	0.320000	0.600000	0.080000
1600	0.220000	0.600000	0.180000
1650	0.360000	0.580000	0.060000
1700	0.220000	0.740000	0.040000
1750	0.320000	0.580000	0.100000
1800	0.400000	0.580000	0.020000
1850	0.380000	0.580000	0.040000
1900	0.180000	0.700000	0.120000
1950	0.200000	0.760000	0.040000
2000	0.280000	0.600000	0.120000
2050	0.180000	0.680000	0.140000
2100	0.180000	0.820000	0.000000
2150	0.260000	0.680000	0.060000
2200	0.140000	0.800000	0.060000
2250	0.260000	0.640000	0.100000
2300	0.220000	0.740000	0.040000
2350	0.120000	0.800000	0.080000
2400	0.180000	0.820000	0.000000
2450	0.220000	0.740000	0.040000
2500	0.120000	0.820000	0.060000
2550	0.100000	0.900000	0.000000
2600	0.220000	0.760000	0.020000
2650	0.260000	0.700000	0.040000
2700	0.160000	0.760000	0.080000
2750	0.240000	0.740000	0.020000
2800	0.120000	0.860000	0.020000
2850	0.080000	0.880000	0.040000
2900	0.120000	0.880000	0.000000
2950	0.100000	0.840000	0.060000
3000	0.060000	0.920000	0.020000
3050	0.100000	0.820000	0.080000
3100	0.040000	0.900000	0.060000
3150	0.100000	0.860000	0.040000
3200	0.080000	0.920000	0.000000
3250	0.060000	0.900000	0.040000
3300	0.080000	0.860000	0.060000
3350	0.080000	0.900000	0.020000
3400	0.040000	0.900000	0.060000
3450	0.060000	0.900000	0.040000
3500	0.100000	0.820000	0.080000
3550	0.040000	0.960000	0.000000
3600	0.060000	0.900000	0.040000
3650	0.020000	0.980000	0.000000
3700	0.060000	0.860000	0.080000
3750	0.000000	1.000000	0.000000
3800	0.000000	0.960000	0.040000
3850	0.040000	0.960000	0.000000
3900	0.020000	0.980000	0.000000
3950	0.040000	0.920000	0.040000
4000	0.060000	0.920000	0.020000
4050	0.020000	0.960000	0.020000
4100	0.000000	1.000000	0.000000
4150	0.020000	0.980000	0.000000
4200	0.040000	0.920000	0.040000
4250	0.020000	0.960000	0.020000
4300	0.020000	0.960000	0.020000
4350	0.020000	0.980000	0.000000
4400	0.000000	0.960000	0.040000
4450	0.040000	0.960000	0.000000
4500	0.000000	1.000000	0.000000
4550	0.020000	0.980000	0.000000
4600	0.000000	0.980000	0.020000
4650	0.000000	1.000000	0.000000
4700	0.000000	1.000000	0.000000
4750	0.020000	0.980000	0.000000
4800	0.020000	0.940000	0.040000
4850	0.000000	1.000000	0.000000
4900	0.040000	0.960000	0.000000
4950	0.000000	1.000000	0.000000
5000	0.000000	1.000000	0.000000
5050	0.000000	0.980000	0.020000
5100	0.000000	1.000000	0.000000
5150	0.000000	0.980000	0.020000
5200	0.000000	1.000000	0.000000
5250	0.000000	1.000000	0.000000
5300	0.000000	1.000000	0.000000
5350	0.020000	0.980000	0.000000
5400	0.020000	0.980000	0.000000
5450	0.000000	1.000000	0.000000
5500	0.020000	0.980000	0.000000
5550	0.040000	0.960000	0.000000
5600	0.020000	0.980000	0.000000
5650	0.000000	1.000000	0.000000
5700	0.000000	1.000000	0.000000
5750	0.020000	0.980000	0.000000
5800	0.020000	0.980000	0.000000
5850	0.000000	1.000000	0.000000
5900	0.020000	0.980000	0.000000
5950	0.020000	0.960000	0.020000
6000	0.000000	1.000000	0.000000
