Rounds	x%	o%	t%
50	0.560000	0.160000	0.280000
100	0.500000	0.320000	0.180000
150	0.740000	0.220000	0.040000
200	0.660000	0.240000	0.100000
250	0.640000	0.300000	0.060000
300	0.420000	0.360000	0.220000
350	0.600000	0.260000	0.140000
400	0.560000	0.320000	0.120000
450	0.580000	0.280000	0.140000
500	0.560000	0.340000	0.100000
550	0.560000	0.300000	0.140000
600	0.480000	0.300000	0.220000
650	0.600000	0.220000	0.180000
700	0.540000	0.220000	0.240000
750	0.460000	0.380000	0.160000
800	0.440000	0.360000	0.200000
850	0.520000	0.300000	0.180000
900	0.420000	0.200000	0.380000
950	0.400000	0.320000	0.280000
1000	0.480000	0.280000	0.240000
1050	0.420000	0.280000	0.300000
1100	0.380000	0.420000	0.200000
1150	0.540000	0.200000	0.260000
1200	0.560000	0.240000	0.200000
1250	0.400000	0.300000	0.300000
1300	0.380000	0.340000	0.280000
1350	0.400000	0.380000	0.220000
1400	0.480000	0.340000	0.180000
1450	0.440000	0.320000	0.240000
1500	0.380000	0.260000	0.360000
1550	0.340000	0.300000	0.360000
1600	0.440000	0.140000	0.420000
1650	0.480000	0.260000	0.260000
1700	0.500000	0.160000	0.340000
1750	0.320000	0.160000	0.520000
1800	0.360000	0.180000	0.460000
1850	0.400000	0.160000	0.440000
1900	0.240000	0.160000	0.600000
1950	0.260000	0.180000	0.560000
2000	0.260000	0.260000	0.480000
2050	0.260000	0.160000	0.580000
2100	0.300000	0.200000	0.500000
2150	0.240000	0.180000	0.580000
2200	0.220000	0.180000	0.600000
2250	0.260000	0.140000	0.600000
2300	0.200000	0.120000	0.680000
2350	0.240000	0.160000	0.600000
2400	0.180000	0.100000	0.720000
2450	0.260000	0.160000	0.580000
2500	0.220000	0.100000	0.680000
2550	0.140000	0.140000	0.720000
2600	0.180000	0.060000	0.760000
2650	0.180000	0.040000	0.780000
2700	0.140000	0.080000	0.780000
2750	0.120000	0.020000	0.860000
2800	0.160000	0.120000	0.720000
2850	0.200000	0.020000	0.780000
2900	0.100000	0.120000	0.780000
2950	0.100000	0.120000	0.780000
3000	0.140000	0.040000	0.820000
3050	0.180000	0.040000	0.780000
3100	0.140000	0.060000	0.800000
3150	0.100000	0.000000	0.900000
3200	0.120000	0.120000	0.760000
3250	0.120000	0.040000	0.840000
3300	0.140000	0.080000	0.780000
3350	0.100000	0.000000	0.900000
3400	0.080000	0.060000	0.860000
3450	0.000000	0.060000	0.940000
3500	0.120000	0.040000	0.840000
3550	0.080000	0.000000	0.920000
3600	0.100000	0.020000	0.880000
3650	0.100000	0.020000	0.880000
3700	0.020000	0.000000	0.980000
3750	0.120000	0.040000	0.840000
3800	0.060000	0.020000	0.920000
3850	0.160000	0.020000	0.820000
3900	0.060000	0.000000	0.940000
3950	0.040000	0.020000	0.940000
4000	0.040000	0.080000	0.880000
4050	0.060000	0.020000	0.920000
4100	0.040000	0.020000	0.940000
4150	0.020000	0.000000	0.980000
4200	0.040000	0.000000	0.960000
4250	0.020000	0.040000	0.940000
4300	0.020000	0.040000	0.940000
4350	0.020000	0.020000	0.960000
4400	0.100000	0.060000	0.840000
4450	0.000000	0.020000	0.980000
4500	0.020000	0.060000	0.920000
4550	0.020000	0.000000	0.980000
4600	0.040000	0.060000	0.900000
4650	0.000000	0.040000	0.960000
4700	0.060000	0.000000	0.940000
4750	0.060000	0.040000	0.900000
4800	0.020000	0.000000	0.980000
4850	0.000000	0.020000	0.980000
4900	0.020000	0.000000	0.980000
4950	0.020000	0.000000	0.980000
5000	0.060000	0.000000	0.940000
5050	0.020000	0.000000	0.980000
5100	0.000000	0.000000	1.000000
5150	0.040000	0.040000	0.920000
5200	0.020000	0.000000	0.980000
5250	0.020000	0.000000	0.980000
5300	0.040000	0.000000	0.960000
5350	0.040000	0.000000	0.960000
5400	0.000000	0.000000	1.000000
5450	0.020000	0.000000	0.980000
5500	0.020000	0.000000	0.980000
5550	0.000000	0.020000	0.980000
5600	0.000000	0.000000	1.000000
5650	0.020000	0.000000	0.980000
5700	0.040000	0.000000	0.960000
5750	0.060000	0.000000	0.940000
5800	0.000000	0.020000	0.980000
5850	0.040000	0.000000	0.960000
5900	0.000000	0.000000	1.000000
5950	0.000000	0.000000	1.000000
6000	0.020000	0.020000	0.960000
6050	0.000000	0.000000	1.000000
6100	0.000000	0.000000	1.000000
6150	0.000000	0.000000	1.000000
6200	0.020000	0.000000	0.980000
6250	0.000000	0.000000	1.000000
