Rounds	x%	o%	t%
50	0.000000	0.820000	0.180000
100	0.000000	0.680000	0.320000
150	0.000000	0.840000	0.160000
200	0.000000	0.880000	0.120000
250	0.000000	0.800000	0.200000
300	0.000000	0.760000	0.240000
350	0.000000	0.700000	0.300000
400	0.000000	0.800000	0.200000
450	0.000000	0.780000	0.220000
500	0.000000	0.740000	0.260000
550	0.000000	0.800000	0.200000
600	0.000000	0.800000	0.200000
650	0.000000	0.840000	0.160000
700	0.000000	0.800000	0.200000
750	0.000000	0.720000	0.280000
800	0.000000	0.620000	0.380000
850	0.000000	0.580000	0.420000
900	0.000000	0.740000	0.260000
950	0.000000	0.660000	0.340000
1000	0.000000	0.560000	0.440000
1050	0.000000	0.600000	0.400000
1100	0.000000	0.620000	0.380000
1150	0.000000	0.540000	0.460000
1200	0.000000	0.660000	0.340000
1250	0.000000	0.540000	0.460000
1300	0.000000	0.600000	0.400000
1350	0.000000	0.440000	0.560000
1400	0.000000	0.480000	0.520000
1450	0.000000	0.500000	0.500000
1500	0.000000	0.460000	0.540000
1550	0.000000	0.440000	0.560000
1600	0.000000	0.400000	0.600000
1650	0.000000	0.380000	0.620000
1700	0.000000	0.420000	0.580000
1750	0.000000	0.360000	0.640000
1800	0.000000	0.400000	0.600000
1850	0.000000	0.300000	0.700000
1900	0.000000	0.320000	0.680000
1950	0.000000	0.380000	0.620000
2000	0.000000	0.240000	0.760000
2050	0.000000	0.320000	0.680000
2100	0.000000	0.320000	0.680000
2150	0.000000	0.320000	0.680000
2200	0.000000	0.280000	0.720000
2250	0.000000	0.360000	0.640000
2300	0.000000	0.260000	0.740000
2350	0.000000	0.200000	0.800000
2400	0.000000	0.220000	0.780000
2450	0.000000	0.140000	0.860000
2500	0.000000	0.260000	0.740000
2550	0.000000	0.140000	0.860000
2600	0.000000	0.300000	0.700000
2650	0.000000	0.240000	0.760000
2700	0.000000	0.220000	0.780000
2750	0.000000	0.180000	0.820000
2800	0.000000	0.120000	0.880000
2850	0.000000	0.100000	0.900000
2900	0.000000	0.220000	0.780000
2950	0.000000	0.140000	0.860000
3000	0.000000	0.140000	0.860000
3050	0.000000	0.080000	0.920000
3100	0.000000	0.140000	0.860000
3150	0.000000	0.060000	0.940000
3200	0.000000	0.160000	0.840000
3250	0.000000	0.020000	0.980000
3300	0.000000	0.080000	0.920000
3350	0.000000	0.240000	0.760000
3400	0.000000	0.120000	0.880000
3450	0.000000	0.080000	0.920000
3500	0.000000	0.060000	0.940000
3550	0.000000	0.060000	0.940000
3600	0.000000	0.040000	0.960000
3650	0.000000	0.000000	1.000000
3700	0.000000	0.020000	0.980000
3750	0.000000	0.060000	0.940000
3800	0.000000	0.100000	0.900000
3850	0.000000	0.140000	0.860000
3900	0.000000	0.080000	0.920000
3950	0.000000	0.100000	0.900000
4000	0.000000	0.040000	0.960000
4050	0.000000	0.000000	1.000000
4100	0.000000	0.120000	0.880000
4150	0.000000	0.040000	0.960000
4200	0.000000	0.000000	1.000000
4250	0.000000	0.060000	0.940000
4300	0.000000	0.040000	0.960000
4350	0.000000	0.020000	0.980000
4400	0.000000	0.040000	0.960000
4450	0.000000	0.040000	0.960000
4500	0.000000	0.020000	0.980000
4550	0.000000	0.100000	0.900000
4600	0.000000	0.020000	0.980000
4650	0.000000	0.020000	0.980000
4700	0.000000	0.000000	1.000000
4750	0.000000	0.040000	0.960000
4800	0.000000	0.020000	0.980000
4850	0.000000	0.040000	0.960000
4900	0.000000	0.000000	1.000000
4950	0.000000	0.040000	0.960000
5000	0.000000	0.020000	0.980000
5050	0.000000	0.000000	1.000000
5100	0.000000	0.020000	0.980000
5150	0.000000	0.000000	1.000000
5200	0.000000	0.020000	0.980000
5250	0.000000	0.000000	1.000000
5300	0.000000	0.020000	0.980000
5350	0.000000	0.020000	0.980000
5400	0.000000	0.000000	1.000000
5450	0.000000	0.020000	0.980000
5500	0.000000	0.000000	1.000000
5550	0.000000	0.020000	0.980000
5600	0.000000	0.020000	0.980000
5650	0.000000	0.000000	1.000000
5700	0.000000	0.020000	0.980000
