Rounds	x%	o%	t%
50	0.600000	0.240000	0.160000
100	0.620000	0.260000	0.120000
150	0.680000	0.220000	0.100000
200	0.540000	0.240000	0.220000
250	0.720000	0.140000	0.140000
300	0.600000	0.240000	0.160000
350	0.580000	0.260000	0.160000
400	0.600000	0.240000	0.160000
450	0.700000	0.180000	0.120000
500	0.600000	0.300000	0.100000
550	0.440000	0.280000	0.280000
600	0.520000	0.320000	0.160000
650	0.660000	0.240000	0.100000
700	0.600000	0.260000	0.140000
750	0.680000	0.220000	0.100000
800	0.620000	0.200000	0.180000
850	0.720000	0.220000	0.060000
900	0.720000	0.160000	0.120000
950	0.660000	0.220000	0.120000
1000	0.820000	0.100000	0.080000
1050	0.680000	0.240000	0.080000
1100	0.780000	0.140000	0.080000
1150	0.540000	0.240000	0.220000
1200	0.660000	0.220000	0.120000
1250	0.560000	0.300000	0.140000
1300	0.740000	0.180000	0.080000
1350	0.720000	0.180000	0.100000
1400	0.780000	0.100000	0.120000
1450	0.720000	0.200000	0.080000
1500	0.760000	0.080000	0.160000
1550	0.740000	0.160000	0.100000
1600	0.680000	0.160000	0.160000
1650	0.780000	0.120000	0.100000
1700	0.800000	0.080000	0.120000
1750	0.740000	0.100000	0.160000
1800	0.820000	0.100000	0.080000
1850	0.880000	0.120000	0.000000
1900	0.840000	0.100000	0.060000
1950	0.960000	0.020000	0.020000
2000	0.820000	0.080000	0.100000
2050	0.880000	0.080000	0.040000
2100	0.820000	0.100000	0.080000
2150	0.940000	0.040000	0.020000
2200	0.860000	0.060000	0.080000
2250	0.820000	0.120000	0.060000
2300	0.920000	0.040000	0.040000
2350	0.940000	0.020000	0.040000
2400	0.840000	0.100000	0.060000
2450	0.920000	0.000000	0.080000
2500	0.900000	0.060000	0.040000
2550	0.920000	0.020000	0.060000
2600	0.860000	0.040000	0.100000
2650	0.940000	0.000000	0.060000
2700	0.940000	0.020000	0.040000
2750	0.940000	0.040000	0.020000
2800	0.980000	0.020000	0.000000
2850	0.960000	0.020000	0.020000
2900	0.940000	0.060000	0.000000
2950	0.940000	0.020000	0.040000
3000	0.960000	0.040000	0.000000
3050	0.980000	0.000000	0.020000
3100	0.940000	0.040000	0.020000
3150	0.960000	0.040000	0.000000
3200	0.960000	0.040000	0.000000
3250	0.920000	0.020000	0.060000
3300	0.980000	0.020000	0.000000
3350	0.960000	0.020000	0.020000
3400	0.960000	0.040000	0.000000
3450	0.980000	0.000000	0.020000
3500	0.980000	0.000000	0.020000
3550	0.960000	0.040000	0.000000
3600	0.940000	0.020000	0.040000
3650	1.000000	0.000000	0.000000
3700	0.920000	0.060000	0.020000
3750	0.960000	0.020000	0.020000
3800	1.000000	0.000000	0.000000
3850	1.000000	0.000000	0.000000
3900	1.000000	0.000000	0.000000
3950	1.000000	0.000000	0.000000
4000	1.000000	0.000000	0.000000
4050	1.000000	0.000000	0.000000
4100	0.980000	0.000000	0.020000
4150	1.000000	0.000000	0.000000
4200	0.980000	0.020000	0.000000
4250	1.000000	0.000000	0.000000
4300	0.960000	0.040000	0.000000
4350	0.980000	0.020000	0.000000
4400	1.000000	0.000000	0.000000
4450	0.980000	0.000000	0.020000
4500	1.000000	0.000000	0.000000
4550	0.980000	0.020000	0.000000
4600	0.980000	0.020000	0.000000
4650	1.000000	0.000000	0.000000
4700	1.000000	0.000000	0.000000
4750	1.000000	0.000000	0.000000
4800	1.000000	0.000000	0.000000
4850	0.980000	0.020000	0.000000
4900	1.000000	0.000000	0.000000
4950	1.000000	0.000000	0.000000
5000	1.000000	0.000000	0.000000
5050	1.000000	0.000000	0.000000
5100	1.000000	0.000000	0.000000
5150	1.000000	0.000000	0.000000
5200	0.960000	0.040000	0.000000
