Rounds	x%	o%	t%
50	0.520000	0.380000	0.100000
100	0.520000	0.360000	0.120000
150	0.600000	0.240000	0.160000
200	0.560000	0.300000	0.140000
250	0.680000	0.240000	0.080000
300	0.580000	0.320000	0.100000
350	0.660000	0.260000	0.080000
400	0.560000	0.300000	0.140000
450	0.580000	0.380000	0.040000
500	0.740000	0.080000	0.180000
550	0.600000	0.200000	0.200000
600	0.600000	0.300000	0.100000
650	0.580000	0.260000	0.160000
700	0.520000	0.300000	0.180000
750	0.540000	0.280000	0.180000
800	0.660000	0.220000	0.120000
850	0.620000	0.280000	0.100000
900	0.700000	0.200000	0.100000
950	0.780000	0.120000	0.100000
1000	0.680000	0.200000	0.120000
1050	0.800000	0.180000	0.020000
1100	0.780000	0.180000	0.040000
1150	0.840000	0.100000	0.060000
1200	0.840000	0.140000	0.020000
1250	0.820000	0.140000	0.040000
1300	0.780000	0.160000	0.060000
1350	0.800000	0.120000	0.080000
1400	0.880000	0.080000	0.040000
1450	0.780000	0.100000	0.120000
1500	0.800000	0.140000	0.060000
1550	0.760000	0.180000	0.060000
1600	0.760000	0.140000	0.100000
1650	0.820000	0.120000	0.060000
1700	0.820000	0.120000	0.060000
1750	0.820000	0.100000	0.080000
1800	0.880000	0.080000	0.040000
1850	0.740000	0.240000	0.020000
1900	0.780000	0.120000	0.100000
1950	0.720000	0.240000	0.040000
2000	0.840000	0.080000	0.080000
2050	0.840000	0.060000	0.100000
2100	0.820000	0.060000	0.120000
2150	0.860000	0.080000	0.060000
2200	0.860000	0.080000	0.060000
2250	0.940000	0.000000	0.060000
2300	0.960000	0.020000	0.020000
2350	0.860000	0.040000	0.100000
2400	0.860000	0.100000	0.040000
2450	0.940000	0.000000	0.060000
2500	0.940000	0.000000	0.060000
2550	0.880000	0.060000	0.060000
2600	0.940000	0.000000	0.060000
2650	0.860000	0.120000	0.020000
2700	0.920000	0.060000	0.020000
2750	0.900000	0.020000	0.080000
2800	0.880000	0.040000	0.080000
2850	0.960000	0.000000	0.040000
2900	0.960000	0.020000	0.020000
2950	0.960000	0.000000	0.040000
3000	0.940000	0.040000	0.020000
3050	0.940000	0.060000	0.000000
3100	0.940000	0.040000	0.020000
3150	0.900000	0.060000	0.040000
3200	0.920000	0.000000	0.080000
3250	0.940000	0.040000	0.020000
3300	0.920000	0.000000	0.080000
3350	0.940000	0.020000	0.040000
3400	0.920000	0.020000	0.060000
3450	0.900000	0.060000	0.040000
3500	0.940000	0.000000	0.060000
3550	0.900000	0.080000	0.020000
3600	0.940000	0.020000	0.040000
3650	0.960000	0.000000	0.040000
3700	0.920000	0.040000	0.040000
3750	0.960000	0.020000	0.020000
3800	0.960000	0.020000	0.020000
3850	0.960000	0.020000	0.020000
3900	0.940000	0.000000	0.060000
3950	0.960000	0.000000	0.040000
4000	0.960000	0.000000	0.040000
4050	0.900000	0.060000	0.040000
4100	0.920000	0.020000	0.060000
4150	0.960000	0.000000	0.040000
4200	0.960000	0.020000	0.020000
4250	0.980000	0.020000	0.000000
4300	0.980000	0.000000	0.020000
4350	0.920000	0.020000	0.060000
4400	0.900000	0.000000	0.100000
4450	0.980000	0.000000	0.020000
4500	0.920000	0.000000	0.080000
4550	0.960000	0.020000	0.020000
4600	0.960000	0.000000	0.040000
4650	0.980000	0.000000	0.020000
4700	0.940000	0.020000	0.040000
4750	0.920000	0.040000	0.040000
4800	0.940000	0.020000	0.040000
4850	0.960000	0.020000	0.020000
4900	0.980000	0.000000	0.020000
4950	0.980000	0.000000	0.020000
5000	0.940000	0.020000	0.040000
5050	0.940000	0.020000	0.040000
5100	0.960000	0.000000	0.040000
5150	0.860000	0.060000	0.080000
5200	0.880000	0.020000	0.100000
5250	0.980000	0.000000	0.020000
5300	0.940000	0.000000	0.060000
5350	0.920000	0.040000	0.040000
5400	0.960000	0.000000	0.040000
5450	0.920000	0.020000	0.060000
5500	0.920000	0.000000	0.080000
5550	0.980000	0.000000	0.020000
5600	0.960000	0.000000	0.040000
5650	0.940000	0.000000	0.060000
5700	0.980000	0.000000	0.020000
5750	0.960000	0.000000	0.040000
5800	0.980000	0.000000	0.020000
5850	1.000000	0.000000	0.000000
5900	0.880000	0.020000	0.100000
5950	0.960000	0.000000	0.040000
6000	0.940000	0.000000	0.060000
6050	0.960000	0.020000	0.020000
6100	0.960000	0.000000	0.040000
6150	0.940000	0.020000	0.040000
6200	0.920000	0.020000	0.060000
6250	0.960000	0.000000	0.040000
6300	0.980000	0.000000	0.020000
6350	0.980000	0.000000	0.020000
6400	0.960000	0.000000	0.040000
6450	0.960000	0.000000	0.040000
6500	0.960000	0.020000	0.020000
6550	1.000000	0.000000	0.000000
6600	0.960000	0.020000	0.020000
6650	0.920000	0.000000	0.080000
6700	0.980000	0.000000	0.020000
6750	0.920000	0.040000	0.040000
6800	0.900000	0.020000	0.080000
6850	0.940000	0.000000	0.060000
6900	1.000000	0.000000	0.000000
6950	0.960000	0.000000	0.040000
7000	0.940000	0.040000	0.020000
7050	0.920000	0.020000	0.060000
7100	0.960000	0.000000	0.040000
7150	0.940000	0.000000	0.060000
7200	0.940000	0.020000	0.040000
7250	0.900000	0.000000	0.100000
7300	0.980000	0.020000	0.000000
7350	0.960000	0.000000	0.040000
7400	0.940000	0.020000	0.040000
7450	0.980000	0.020000	0.000000
7500	0.940000	0.000000	0.060000
7550	0.980000	0.000000	0.020000
7600	0.920000	0.040000	0.040000
7650	0.960000	0.000000	0.040000
7700	0.960000	0.020000	0.020000
7750	0.960000	0.020000	0.020000
7800	0.980000	0.000000	0.020000
7850	0.940000	0.020000	0.040000
7900	0.960000	0.000000	0.040000
7950	0.900000	0.000000	0.100000
8000	0.960000	0.020000	0.020000
8050	0.960000	0.000000	0.040000
8100	0.920000	0.020000	0.060000
8150	0.980000	0.000000	0.020000
8200	0.940000	0.000000	0.060000
8250	1.000000	0.000000	0.000000
8300	0.940000	0.000000	0.060000
8350	0.940000	0.000000	0.060000
8400	0.980000	0.000000	0.020000
8450	0.960000	0.000000	0.040000
8500	0.920000	0.020000	0.060000
8550	0.940000	0.000000	0.060000
8600	1.000000	0.000000	0.000000
8650	0.940000	0.020000	0.040000
8700	0.980000	0.000000	0.020000
8750	0.960000	0.000000	0.040000
8800	1.000000	0.000000	0.000000
8850	0.900000	0.000000	0.100000
8900	0.940000	0.040000	0.020000
8950	0.940000	0.020000	0.040000
9000	0.920000	0.040000	0.040000
9050	0.940000	0.000000	0.060000
9100	0.900000	0.020000	0.080000
9150	0.920000	0.040000	0.040000
9200	0.940000	0.020000	0.040000
9250	0.960000	0.000000	0.040000
9300	0.920000	0.000000	0.080000
9350	0.920000	0.000000	0.080000
9400	0.980000	0.000000	0.020000
9450	0.940000	0.000000	0.060000
9500	1.000000	0.000000	0.000000
9550	0.860000	0.000000	0.140000
9600	0.940000	0.020000	0.040000
9650	0.900000	0.000000	0.100000
9700	0.940000	0.000000	0.060000
9750	0.960000	0.000000	0.040000
9800	0.920000	0.020000	0.060000
9850	1.000000	0.000000	0.000000
9900	0.980000	0.000000	0.020000
9950	0.980000	0.000000	0.020000
10000	0.960000	0.000000	0.040000
